,Mass
234,-0.3187587626244128
235,-0.26760624017703144
236,-0.24412514432750865
237,-0.22914798835785583
238,-0.17392519729917355
239,-0.16115090926274472
240,-0.026872146400301365
241,0.03342375548694973
242,0.22010808804005508
243,-0.3979400086720376
244,-0.26760624017703144
245,-0.3010299956639812
246,-0.25181197299379954
247,-0.24412514432750865
248,-0.20760831050174613
249,-0.10790539730951958
250,-0.09691001300805639
251,0.0
252,-0.36653154442041347
253,-0.3565473235138126
254,-0.3187587626244128
255,-0.22914798835785583
256,-0.2218487496163564
257,-0.2006594505464183
258,-0.16115090926274472
259,-0.11918640771920865
260,0.00860017176191757
261,0.06445798922691845
262,-0.494850021680094
263,-0.3279021420642826
264,-0.3187587626244128
265,-0.2924298239020636
266,-0.25181197299379954
267,-0.20760831050174613
268,-0.17392519729917355
269,-0.11350927482751812
270,-0.07058107428570728
271,0.12057393120584989
272,0.17609125905568124
273,-0.494850021680094
274,-0.2006594505464183
275,-0.37675070960209955
276,-0.3279021420642826
277,-0.2924298239020636
278,-0.2924298239020636
279,-0.25181197299379954
280,-0.1938200260161128
281,-0.18708664335714442
282,-0.14874165128092473
283,-0.12493873660829995
284,-0.12493873660829995
285,-0.017728766960431602
286,-0.01322826573375516
287,0.1367205671564068
288,-0.3279021420642826
289,-0.3279021420642826
290,-0.2924298239020636
291,-0.21467016498923297
292,-0.18708664335714442
293,-0.17392519729917355
294,-0.13076828026902382
295,-0.017728766960431602
296,-0.494850021680094
297,-0.37675070960209955
298,-0.3187587626244128
299,-0.28399665636520083
300,-0.27572413039921095
301,-0.21467016498923297
302,-0.2006594505464183
303,-0.18708664335714442
304,-0.16749108729376366
305,-0.036212172654444715
306,-0.004364805402450088
307,0.05690485133647256
308,-0.3565473235138126
309,-0.2006594505464183
310,-0.06550154875643228
311,-0.3565473235138126
312,-0.28399665636520083
313,-0.23657200643706275
314,-0.23657200643706275
315,-0.026872146400301365
316,-0.10237290870955855
317,-0.37675070960209955
318,-0.26760624017703144
319,-0.2218487496163564
320,-0.16115090926274472
321,-0.05060999335508721
322,-0.28399665636520083
323,-0.2924298239020636
324,-0.2596373105057561
325,-0.23657200643706275
326,-0.08618614761628333
327,-0.07572071393811836
328,-0.06550154875643228
329,-0.01322826573375516
330,0.004321373782642578
331,0.029383777685209667
332,-0.3010299956639812
333,-0.22914798835785583
334,-0.1938200260161128
335,-0.18708664335714442
336,-0.11350927482751812
337,-0.10237290870955855
338,-0.026872146400301365
339,-0.004364805402450088
340,0.11727129565576427
341,-0.07572071393811836
342,-0.3467874862246563
343,-0.3010299956639812
344,-0.28399665636520083
345,-0.27572413039921095
346,-0.14266750356873156
347,-0.07572071393811836
348,0.04921802267018165
349,0.22530928172586284
350,-0.07572071393811836
351,-0.06550154875643228
352,-0.24412514432750865
353,-0.3187587626244128
354,-0.27572413039921095
355,-0.23657200643706275
356,-0.2218487496163564
357,-0.16749108729376366
358,-0.16115090926274472
359,-0.060480747381381476
360,0.021189299069938092
361,0.03342375548694973
362,0.17318626841227402
363,-0.431798275933005
364,-0.3979400086720376
365,-0.14874165128092473
366,-0.05551732784983137
367,-0.3098039199714863
368,-0.28399665636520083
369,-0.17392519729917355
370,-0.06550154875643228
371,0.00860017176191757
372,0.08635983067474821
373,-0.20760831050174613
374,-0.11350927482751812
375,-0.2218487496163564
376,-0.1938200260161128
377,-0.1366771398795441
378,-0.09691001300805639
379,-0.036212172654444715
380,-0.06550154875643228
381,-0.3010299956639812
382,-0.28399665636520083
383,-0.27572413039921095
384,-0.2596373105057561
385,-0.25181197299379954
386,-0.24412514432750865
387,-0.10237290870955855
388,-0.022276394711152253
389,0.00860017176191757
390,0.045322978786657475
391,-0.3010299956639812
392,-0.3098039199714863
393,-0.3010299956639812
394,-0.3010299956639812
395,-0.26760624017703144
396,-0.26760624017703144
397,-0.26760624017703144
398,-0.25181197299379954
399,-0.23657200643706275
400,-0.14874165128092473
401,-0.14266750356873156
402,-0.1366771398795441
403,-0.10790539730951958
404,-0.07058107428570728
405,-0.03151705144606486
406,0.037426497940623665
407,-0.3187587626244128
408,-0.27572413039921095
409,-0.11350927482751812
410,-0.036212172654444715
411,-0.28399665636520083
412,-0.3187587626244128
413,-0.3098039199714863
414,-0.26760624017703144
415,-0.24412514432750865
416,-0.21467016498923297
417,-0.1938200260161128
418,-0.08092190762392612
419,-0.040958607678906384
420,-0.00877392430750515
421,0.0
422,-0.20760831050174613
423,-0.09691001300805639
424,-0.09151498112135022
425,0.0
426,-0.4559319556497244
427,-0.3010299956639812
428,-0.28399665636520083
429,-0.25181197299379954
430,-0.2596373105057561
431,-0.16115090926274472
432,-0.1549019599857432
433,-0.11918640771920865
434,-0.07572071393811836
435,-0.07572071393811836
436,0.037426497940623665
437,0.17026171539495738
438,-0.2006594505464183
439,-0.18708664335714442
440,-0.2924298239020636
441,-0.2596373105057561
442,-0.2218487496163564
443,-0.09151498112135022
444,-0.07058107428570728
445,-0.060480747381381476
446,-0.045757490560675115
447,-0.3098039199714863
448,-0.3010299956639812
449,-0.28399665636520083
450,-0.26760624017703144
451,-0.2218487496163564
452,-0.13076828026902382
453,-0.10237290870955855
454,-0.09691001300805639
455,0.05690485133647256
456,-0.3098039199714863
457,-0.2218487496163564
458,-0.14874165128092473
459,-0.12493873660829995
460,-0.040958607678906384
461,-0.036212172654444715
462,-0.01322826573375516
463,0.07554696139253074
464,-0.27572413039921095
465,-0.26760624017703144
466,-0.045757490560675115
467,-0.045757490560675115
468,0.15836249209524964
469,-0.4559319556497244
470,-0.3098039199714863
471,-0.2924298239020636
472,-0.24412514432750865
473,-0.23657200643706275
474,-0.22914798835785583
475,-0.1366771398795441
476,-0.09151498112135022
477,0.04139268515822508
478,0.05690485133647256
479,0.06445798922691845
480,-0.2924298239020636
481,-0.26760624017703144
482,-0.1549019599857432
483,-0.13076828026902382
484,-0.09151498112135022
485,-0.3098039199714863
486,-0.25181197299379954
487,-0.3098039199714863
488,-0.2924298239020636
489,-0.28399665636520083
490,-0.18708664335714442
491,-0.17392519729917355
492,-0.17392519729917355
493,-0.09691001300805639
494,-0.07572071393811836
495,-0.036212172654444715
496,-0.28399665636520083
497,-0.25181197299379954
498,-0.2218487496163564
499,-0.21467016498923297
500,-0.17392519729917355
501,-0.16749108729376366
502,-0.16749108729376366
503,-0.07058107428570728
504,0.00860017176191757
505,0.021189299069938092
506,0.06069784035361165
507,-0.3979400086720376
508,-0.3098039199714863
509,-0.2924298239020636
510,-0.28399665636520083
511,-0.1938200260161128
512,-0.14266750356873156
513,-0.11918640771920865
514,-0.10237290870955855
515,-0.08618614761628333
516,-0.07058107428570728
517,-0.036212172654444715
518,-0.00877392430750515
519,-0.004364805402450088
520,0.07188200730612536
521,0.14921911265537988
522,-0.25181197299379954
523,-0.20760831050174613
524,-0.05060999335508721
525,-0.05060999335508721
526,-0.040958607678906384
527,-0.26760624017703144
528,-0.2006594505464183
529,-0.1549019599857432
530,-0.060480747381381476
531,-0.20760831050174613
532,-0.16749108729376366
533,-0.16115090926274472
534,-0.14874165128092473
535,-0.08618614761628333
536,-0.01322826573375516
537,0.01703333929878037
538,0.1367205671564068
539,0.14921911265537988
540,-0.3979400086720376
541,-0.20760831050174613
542,-0.24412514432750865
543,-0.23657200643706275
544,-0.20760831050174613
545,-0.11918640771920865
546,-0.09151498112135022
547,-0.28399665636520083
548,0.021189299069938092
549,-0.26760624017703144
550,-0.26760624017703144
551,-0.2596373105057561
552,-0.24412514432750865
553,-0.2006594505464183
554,-0.1938200260161128
555,-0.18708664335714442
556,-0.16115090926274472
557,-0.1549019599857432
558,-0.11350927482751812
559,-0.036212172654444715
560,0.004321373782642578
561,-0.3979400086720376
562,-0.2218487496163564
563,-0.24412514432750865
564,-0.1938200260161128
565,-0.07572071393811836
566,-0.05551732784983137
567,0.08635983067474821
568,0.13033376849500614
569,-0.3010299956639812
570,-0.25181197299379954
571,-0.14874165128092473
572,-0.26760624017703144
573,-0.26760624017703144
574,-0.24412514432750865
575,-0.21467016498923297
576,-0.1938200260161128
577,-0.13076828026902382
578,-0.07572071393811836
579,-0.06550154875643228
580,0.004321373782642578
581,0.01703333929878037
582,0.05307844348341968
583,0.07554696139253074
584,-0.3098039199714863
585,-0.26760624017703144
586,-0.23657200643706275
587,-0.22914798835785583
588,-0.17392519729917355
589,-0.16749108729376366
590,-0.14266750356873156
591,-0.1366771398795441
592,-0.11350927482751812
593,-0.10237290870955855
594,-0.08092190762392612
595,-0.07058107428570728
596,-0.040958607678906384
597,-0.040958607678906384
598,-0.03151705144606486
599,0.021189299069938092
600,0.037426497940623665
601,0.1367205671564068
602,-0.37675070960209955
603,-0.036212172654444715
604,-0.23657200643706275
605,-0.17392519729917355
606,-0.16115090926274472
607,-0.10790539730951958
608,-0.036212172654444715
609,0.00860017176191757
610,0.04921802267018165
611,-0.23657200643706275
612,-0.2006594505464183
613,-0.12493873660829995
614,-0.10790539730951958
615,-0.09151498112135022
616,-0.01322826573375516
617,0.0
618,0.04139268515822508
619,-0.24412514432750865
620,-0.22914798835785583
621,-0.2006594505464183
622,-0.10237290870955855
623,-0.045757490560675115
624,-0.3098039199714863
625,-0.25181197299379954
626,-0.1366771398795441
627,-0.11350927482751812
628,-0.09691001300805639
629,-0.026872146400301365
630,-0.004364805402450088
631,-0.12493873660829995
632,-0.20760831050174613
633,-0.1938200260161128
634,-0.07572071393811836
635,0.05690485133647256
636,-0.18708664335714442
637,-0.17392519729917355
638,-0.10237290870955855
639,-0.08618614761628333
640,-0.17392519729917355
641,-0.16749108729376366
642,-0.14874165128092473
643,-0.10237290870955855
644,-0.10237290870955855
645,-0.05551732784983137
646,-0.03151705144606486
647,-0.27572413039921095
648,-0.24412514432750865
649,-0.18708664335714442
650,-0.1366771398795441
651,-0.13076828026902382
652,-0.07572071393811836
653,-0.00877392430750515
654,-0.10237290870955855
655,-0.036212172654444715
656,-0.20760831050174613
657,0.00860017176191757
658,-0.22914798835785583
659,-0.05551732784983137
660,-0.036212172654444715
661,0.15836249209524964
662,-0.3565473235138126
663,-0.11350927482751812
664,-0.24412514432750865
665,-0.1549019599857432
666,-0.08092190762392612
667,-0.11350927482751812
668,-0.2596373105057561
669,-0.16749108729376366
670,-0.06550154875643228
671,-0.3565473235138126
672,-0.22914798835785583
673,-0.1366771398795441
674,-0.10237290870955855
675,-0.23657200643706275
676,-0.2218487496163564
677,-0.21467016498923297
678,-0.10237290870955855
679,-0.026872146400301365
680,-0.3565473235138126
681,-0.12493873660829995
682,-0.07572071393811836
683,-0.06550154875643228
684,-0.25181197299379954
685,-0.1804560644581313
686,-0.14874165128092473
687,-0.14266750356873156
688,-0.09691001300805639
689,-0.08092190762392612
690,-0.022276394711152253
691,-0.017728766960431602
692,-0.18708664335714442
693,-0.2596373105057561
694,-0.20760831050174613
695,-0.2006594505464183
696,-0.18708664335714442
697,-0.18708664335714442
698,-0.1804560644581313
699,-0.17392519729917355
700,-0.16115090926274472
701,-0.09691001300805639
702,-0.01322826573375516
703,0.05690485133647256
704,-0.3010299956639812
705,-0.1549019599857432
706,-0.17392519729917355
707,-0.11918640771920865
708,-0.26760624017703144
709,-0.25181197299379954
710,-0.07572071393811836
711,0.03342375548694973
712,0.06445798922691845
713,-0.2596373105057561
714,-0.25181197299379954
715,-0.23657200643706275
716,-0.026872146400301365
717,-0.022276394711152253
718,0.00860017176191757
719,0.06818586174616162
720,0.08278537031645007
721,-0.20760831050174613
722,-0.10237290870955855
723,-0.10237290870955855
724,-0.07572071393811836
725,-0.24412514432750865
726,-0.2218487496163564
727,-0.24412514432750865
728,-0.11350927482751812
729,-0.10237290870955855
730,0.00860017176191757
731,-0.3279021420642826
732,-0.22914798835785583
733,-0.23657200643706275
734,-0.18708664335714442
735,-0.16749108729376366
736,0.03342375548694973
737,0.07554696139253074
738,-0.13076828026902382
739,-0.10237290870955855
740,-0.20760831050174613
741,-0.16749108729376366
742,-0.12493873660829995
743,-0.24412514432750865
744,-0.18708664335714442
745,-0.17392519729917355
746,-0.14874165128092473
747,-0.1366771398795441
748,0.05307844348341968
749,-0.22914798835785583
750,-0.18708664335714442
751,-0.07572071393811836
752,-0.24412514432750865
753,-0.3565473235138126
754,-0.24412514432750865
755,-0.20760831050174613
756,-0.11350927482751812
757,-0.036212172654444715
758,0.029383777685209667
759,0.05307844348341968
760,-0.24412514432750865
761,-0.2218487496163564
762,-0.13076828026902382
763,-0.060480747381381476
764,0.021189299069938092
765,0.07554696139253074
766,-0.045757490560675115
767,-0.1549019599857432
768,-0.045757490560675115
769,-0.040958607678906384
770,-0.00877392430750515
771,0.04921802267018165
772,0.08990511143939793
773,0.08990511143939793
774,-0.18708664335714442
775,-0.07572071393811836
776,-0.017728766960431602
777,0.04139268515822508
778,0.1673173347481761
779,-0.3098039199714863
780,-0.2218487496163564
781,-0.1366771398795441
782,-0.10237290870955855
783,-0.08618614761628333
784,-0.07572071393811836
785,-0.060480747381381476
786,-0.022276394711152253
787,0.029383777685209667
788,0.08990511143939793
789,-0.28399665636520083
790,-0.2006594505464183
791,-0.14266750356873156
792,-0.03151705144606486
793,-0.022276394711152253
794,0.0
795,0.14301480025409505
796,-0.3279021420642826
797,-0.1804560644581313
798,-0.1366771398795441
799,-0.12493873660829995
800,-0.21467016498923297
801,-0.11350927482751812
802,-0.060480747381381476
803,-0.017728766960431602
804,-0.24412514432750865
805,-0.11350927482751812
806,-0.3010299956639812
807,-0.21467016498923297
808,-0.16749108729376366
809,-0.14266750356873156
810,-0.022276394711152253
811,-0.022276394711152253
812,0.06445798922691845
813,-0.3010299956639812
814,-0.18708664335714442
815,-0.09151498112135022
816,-0.07572071393811836
817,-0.045757490560675115
818,0.00860017176191757
819,0.029383777685209667
820,-0.1804560644581313
821,-0.07572071393811836
822,-0.21467016498923297
823,-0.1938200260161128
824,-0.3098039199714863
825,-0.3010299956639812
826,-0.14266750356873156
827,-0.07572071393811836
828,-0.03151705144606486
829,0.11727129565576427
830,-0.2006594505464183
831,-0.07572071393811836
832,-0.036212172654444715
833,-0.24412514432750865
834,-0.22914798835785583
835,-0.16749108729376366
836,-0.16749108729376366
837,-0.1549019599857432
838,-0.14874165128092473
839,-0.00877392430750515
840,-0.1549019599857432
841,-0.09151498112135022
842,-0.060480747381381476
843,-0.036212172654444715
844,-0.21467016498923297
845,-0.10790539730951958
846,-0.07058107428570728
847,-0.06550154875643228
848,-0.017728766960431602
849,-0.3010299956639812
850,-0.23657200643706275
851,-0.1366771398795441
852,0.0
853,-0.1549019599857432
854,-0.10237290870955855
855,-0.2006594505464183
856,-0.14874165128092473
857,-0.09151498112135022
858,-0.22914798835785583
859,-0.1366771398795441
860,-0.13076828026902382
861,-0.07572071393811836
862,-0.022276394711152253
863,-0.24412514432750865
864,-0.10237290870955855
865,-0.05551732784983137
866,-0.06550154875643228
867,-0.07572071393811836
868,-0.06550154875643228
869,-0.07058107428570728
870,0.0
871,0.045322978786657475
872,0.08635983067474821
873,-0.22914798835785583
874,-0.1366771398795441
875,-0.06550154875643228
876,-0.14266750356873156
877,-0.10237290870955855
878,-0.05551732784983137
879,-0.026872146400301365
880,-0.017728766960431602
881,0.13353890837021754
882,-0.18708664335714442
883,-0.1366771398795441
884,-0.12493873660829995
885,-0.017728766960431602
886,0.0
887,-0.28399665636520083
888,-0.16749108729376366
889,-0.07572071393811836
890,-0.1938200260161128
891,-0.17392519729917355
892,-0.036212172654444715
893,-0.18708664335714442
894,-0.05060999335508721
895,-0.21467016498923297
896,-0.2006594505464183
897,-0.2006594505464183
898,-0.18708664335714442
899,-0.017728766960431602
900,0.10720996964786837
901,-0.14874165128092473
902,-0.12493873660829995
903,-0.2218487496163564
904,-0.16749108729376366
905,0.00860017176191757
906,-0.2006594505464183
907,-0.08618614761628333
908,-0.1366771398795441
909,-0.060480747381381476
910,-0.2006594505464183
911,-0.14266750356873156
912,-0.25181197299379954
913,-0.18708664335714442
914,-0.07572071393811836
915,-0.11350927482751812
916,-0.09151498112135022
917,-0.26760624017703144
918,-0.045757490560675115
919,-0.1938200260161128
920,-0.11350927482751812
921,-0.28399665636520083
922,-0.08618614761628333
923,-0.060480747381381476
924,-0.1938200260161128
925,-0.1804560644581313
926,-0.1549019599857432
927,-0.07572071393811836
928,-0.045757490560675115
929,0.021189299069938092
930,-0.16749108729376366
931,-0.11350927482751812
932,-0.10237290870955855
933,-0.07572071393811836
934,-0.05551732784983137
935,-0.18708664335714442
936,-0.1549019599857432
937,-0.14874165128092473
938,0.05307844348341968
939,-0.22914798835785583
940,-0.004364805402450088
941,0.12057393120584989
942,-0.3010299956639812
943,-0.1549019599857432
944,-0.12493873660829995
945,-0.2218487496163564
946,-0.045757490560675115
947,-0.20760831050174613
948,-0.10237290870955855
949,0.0
950,0.06818586174616162
951,0.07188200730612536
952,-0.07572071393811836
953,-0.05551732784983137
954,-0.24412514432750865
955,-0.09151498112135022
956,-0.08618614761628333
957,-0.17392519729917355
958,-0.10790539730951958
959,-0.09691001300805639
960,-0.036212172654444715
961,-0.03151705144606486
962,0.12385164096708581
963,-0.2006594505464183
964,-0.036212172654444715
965,-0.10790539730951958
966,-0.07572071393811836
967,0.08635983067474821
968,-0.22914798835785583
969,-0.13076828026902382
970,0.029383777685209667
971,-0.14874165128092473
972,-0.1549019599857432
973,-0.14874165128092473
974,-0.022276394711152253
975,0.004321373782642578
976,0.029383777685209667
977,-0.2218487496163564
978,-0.1549019599857432
979,-0.09151498112135022
980,-0.07572071393811836
981,-0.11918640771920865
982,-0.10790539730951958
983,-0.1804560644581313
984,-0.11918640771920865
985,-0.14266750356873156
986,-0.16749108729376366
987,-0.08618614761628333
988,-0.07572071393811836
989,0.04921802267018165
990,-0.26760624017703144
991,-0.25181197299379954
992,-0.1804560644581313
993,-0.26760624017703144
994,-0.1549019599857432
995,-0.10237290870955855
996,-0.27572413039921095
997,-0.20760831050174613
998,-0.07058107428570728
999,0.07918124604762482
1000,-0.2218487496163564
1001,0.05690485133647256
1002,-0.11350927482751812
1003,-0.05551732784983137
1004,-0.10790539730951958
1005,-0.1804560644581313
1006,-0.08618614761628333
1007,-0.25181197299379954
1008,-0.18708664335714442
1009,-0.16749108729376366
1010,-0.26760624017703144
1011,-0.2218487496163564
1012,-0.09151498112135022
1013,-0.05551732784983137
1014,-0.13076828026902382
1015,-0.09691001300805639
1016,0.029383777685209667
1017,0.04139268515822508
1018,0.05307844348341968
1019,-0.11350927482751812
1020,-0.036212172654444715
1021,-0.16115090926274472
1022,-0.00877392430750515
1023,-0.05060999335508721
1024,-0.1804560644581313
1025,-0.1804560644581313
1026,-0.08092190762392612
1027,-0.060480747381381476
1028,-0.2006594505464183
1029,-0.17392519729917355
1030,0.004321373782642578
1031,0.04921802267018165
1032,-0.24412514432750865
1033,-0.09151498112135022
1034,-0.03151705144606486
1035,-0.1938200260161128
1036,-0.11350927482751812
1037,-0.1366771398795441
1038,0.02530586526477026
1039,-0.05551732784983137
1040,-0.25181197299379954
1041,-0.2218487496163564
1042,-0.05551732784983137
1043,-0.036212172654444715
1044,-0.2218487496163564
1045,0.09342168516223506
1046,0.06818586174616162
1047,-0.1366771398795441
1048,-0.06550154875643228
1049,0.04921802267018165
1050,-0.05060999335508721
1051,-0.045757490560675115
1052,0.0
1053,-0.20760831050174613
1054,-0.11350927482751812
1055,-0.1366771398795441
1056,-0.05551732784983137
1057,-0.22914798835785583
1058,-0.14874165128092473
1059,-0.05551732784983137
1060,-0.22914798835785583
1061,-0.1804560644581313
1062,-0.16749108729376366
1063,-0.14266750356873156
1064,-0.036212172654444715
1065,-0.16115090926274472
1066,-0.10237290870955855
1067,-0.09691001300805639
1068,-0.060480747381381476
1069,-0.2006594505464183
1070,-0.1804560644581313
1071,-0.14874165128092473
1072,0.037426497940623665
1073,-0.24412514432750865
1074,-0.06550154875643228
1075,-0.03151705144606486
1076,-0.1549019599857432
1077,-0.13076828026902382
1078,-0.11918640771920865
1079,-0.11350927482751812
1080,-0.022276394711152253
1081,-0.22914798835785583
1082,-0.12493873660829995
1083,-0.1804560644581313
1084,-0.10790539730951958
1085,-0.18708664335714442
1086,-0.05551732784983137
1087,-0.040958607678906384
1088,0.004321373782642578
1089,0.0
1090,-0.1366771398795441
1091,-0.08618614761628333
1092,-0.060480747381381476
1093,-0.10790539730951958
1094,-0.1549019599857432
1095,0.08635983067474821
1096,-0.060480747381381476
1097,-0.05060999335508721
1098,0.07918124604762482
1099,-0.09151498112135022
1100,-0.03151705144606486
1101,-0.10790539730951958
1102,-0.17392519729917355
1103,-0.12493873660829995
1104,-0.14874165128092473
1105,-0.040958607678906384
1106,-0.03151705144606486
1107,-0.1549019599857432
1108,-0.24412514432750865
1109,-0.14874165128092473
1110,-0.10790539730951958
1111,-0.11350927482751812
1112,-0.07058107428570728
1113,0.0
1114,0.08990511143939793
1115,-0.13076828026902382
1116,-0.1804560644581313
1117,-0.2218487496163564
1118,-0.1366771398795441
1119,-0.060480747381381476
1120,-0.16115090926274472
1121,-0.14874165128092473
1122,-0.1549019599857432
1123,-0.036212172654444715
1124,-0.22914798835785583
1125,-0.14874165128092473
1126,-0.24412514432750865
1127,-0.12493873660829995
1128,-0.09151498112135022
1129,-0.060480747381381476
1130,-0.20760831050174613
1131,-0.2006594505464183
1132,-0.06550154875643228
1133,-0.05551732784983137
1134,-0.12493873660829995
1135,-0.03151705144606486
1136,-0.18708664335714442
1137,-0.036212172654444715
1138,-0.22914798835785583
1139,-0.05551732784983137
1140,-0.045757490560675115
1141,-0.14266750356873156
1142,-0.08618614761628333
1143,-0.22914798835785583
1144,-0.18708664335714442
1145,-0.14874165128092473
1146,-0.16749108729376366
1147,0.07918124604762482
1148,-0.045757490560675115
1149,-0.2006594505464183
1150,-0.06550154875643228
1151,-0.12493873660829995
1152,-0.05551732784983137
1153,-0.13076828026902382
1154,0.04139268515822508
1155,-0.11350927482751812
1156,-0.036212172654444715
1157,-0.07058107428570728
1158,-0.10237290870955855
1159,-0.036212172654444715
1160,0.037426497940623665
1161,-0.2218487496163564
1162,-0.017728766960431602
1163,-0.14874165128092473
1164,-0.09151498112135022
1165,-0.036212172654444715
1166,-0.08618614761628333
1167,-0.05551732784983137
1168,0.08278537031645007
