,Age
0,3.6020599913279625
1,3.845098040014257
2,3.6020599913279625
3,3.7781512503836434
4,3.6020599913279625
5,3.4771212547196626
6,3.6020599913279625
7,3.3010299956639813
8,3.845098040014257
9,3.845098040014257
10,3.845098040014257
11,3.845098040014257
12,3.9030899869919438
13,3.9030899869919438
14,3.3010299956639813
15,3.4771212547196626
16,3.4771212547196626
17,3.3010299956639813
18,3.6989700043360187
19,3.6989700043360187
20,3.845098040014257
21,3.6989700043360187
22,3.6989700043360187
23,3.6989700043360187
24,3.7781512503836434
25,3.3010299956639813
26,3.845098040014257
27,3.6020599913279625
28,3.6020599913279625
29,3.845098040014257
30,3.6989700043360187
31,3.7781512503836434
32,3.6989700043360187
33,3.6989700043360187
34,3.7781512503836434
35,3.7781512503836434
36,3.845098040014257
37,3.845098040014257
38,3.7781512503836434
39,3.845098040014257
40,3.845098040014257
41,3.6989700043360187
42,3.845098040014257
43,3.6989700043360187
44,3.845098040014257
45,3.3010299956639813
46,3.6020599913279625
47,3.7781512503836434
48,3.6989700043360187
49,3.7781512503836434
50,3.845098040014257
51,3.9030899869919438
52,3.3010299956639813
53,3.7781512503836434
54,3.3010299956639813
55,3.4771212547196626
56,3.6989700043360187
57,3.4771212547196626
58,3.3010299956639813
59,3.3010299956639813
60,3.4771212547196626
61,3.6989700043360187
62,3.845098040014257
63,3.845098040014257
64,3.7781512503836434
65,3.845098040014257
66,3.6989700043360187
67,3.4771212547196626
68,3.9030899869919438
69,3.845098040014257
70,3.6989700043360187
71,3.7781512503836434
72,3.845098040014257
73,3.6989700043360187
74,3.845098040014257
75,3.6020599913279625
76,3.7781512503836434
77,3.4771212547196626
78,3.4771212547196626
79,3.6989700043360187
80,3.6989700043360187
81,3.7781512503836434
82,3.845098040014257
83,3.4771212547196626
84,3.845098040014257
85,3.6989700043360187
86,3.6989700043360187
87,3.845098040014257
88,3.3010299956639813
89,3.6020599913279625
90,3.845098040014257
91,3.845098040014257
92,3.6989700043360187
93,3.845098040014257
94,3.6989700043360187
95,3.845098040014257
96,3.6989700043360187
97,3.6020599913279625
98,3.4771212547196626
99,3.7781512503836434
100,3.4771212547196626
101,3.845098040014257
102,3.7781512503836434
103,3.6020599913279625
104,3.6020599913279625
105,3.7781512503836434
106,3.4771212547196626
107,3.3010299956639813
108,3.7781512503836434
109,3.7781512503836434
110,3.6989700043360187
111,3.6989700043360187
112,3.7781512503836434
113,3.845098040014257
114,3.9030899869919438
115,3.6020599913279625
116,3.6989700043360187
117,3.845098040014257
118,3.845098040014257
119,3.4771212547196626
120,3.9030899869919438
121,3.9030899869919438
122,3.4771212547196626
123,3.7781512503836434
124,3.845098040014257
125,3.7781512503836434
126,3.6989700043360187
127,3.6020599913279625
128,3.6020599913279625
129,3.7781512503836434
130,3.6020599913279625
131,3.6020599913279625
132,3.6020599913279625
133,3.9030899869919438
134,3.6020599913279625
135,3.6989700043360187
136,3.3010299956639813
137,3.6020599913279625
138,3.845098040014257
139,3.6020599913279625
140,3.6989700043360187
141,3.6989700043360187
142,3.845098040014257
143,3.6020599913279625
144,3.6989700043360187
145,3.4771212547196626
146,3.6020599913279625
147,3.6020599913279625
148,3.9030899869919438
149,3.845098040014257
150,3.6020599913279625
151,3.7781512503836434
152,3.7781512503836434
153,3.6020599913279625
154,3.4771212547196626
155,3.6989700043360187
156,3.845098040014257
157,3.6989700043360187
158,3.7781512503836434
159,3.6989700043360187
160,3.845098040014257
161,3.7781512503836434
162,3.6989700043360187
163,3.7781512503836434
164,3.7781512503836434
165,3.6020599913279625
166,3.9030899869919438
167,3.845098040014257
168,3.7781512503836434
169,3.6020599913279625
170,3.845098040014257
171,3.7781512503836434
172,3.845098040014257
173,3.6989700043360187
174,3.6989700043360187
175,3.6989700043360187
176,3.9030899869919438
177,3.9030899869919438
178,3.4771212547196626
179,3.4771212547196626
180,3.6989700043360187
181,3.845098040014257
182,3.845098040014257
183,3.7781512503836434
184,3.845098040014257
185,3.845098040014257
186,3.7781512503836434
187,3.7781512503836434
188,3.6989700043360187
189,3.6020599913279625
190,3.9030899869919438
191,3.845098040014257
192,3.4771212547196626
193,3.845098040014257
194,3.4771212547196626
195,3.845098040014257
196,3.6989700043360187
197,3.6020599913279625
198,3.7781512503836434
199,3.6020599913279625
200,3.6020599913279625
201,3.9030899869919438
202,3.9030899869919438
203,3.4771212547196626
204,3.7781512503836434
205,3.7781512503836434
206,3.845098040014257
207,3.845098040014257
208,3.6989700043360187
209,3.7781512503836434
210,3.845098040014257
211,3.6989700043360187
212,3.9030899869919438
213,3.9030899869919438
214,3.845098040014257
215,3.845098040014257
216,3.7781512503836434
217,3.845098040014257
218,3.845098040014257
219,3.7781512503836434
220,3.845098040014257
221,3.6020599913279625
222,3.6989700043360187
223,3.845098040014257
224,3.3010299956639813
225,3.6989700043360187
226,3.7781512503836434
227,3.9030899869919438
228,3.9030899869919438
229,3.9030899869919438
230,3.845098040014257
231,3.6989700043360187
232,3.6989700043360187
233,3.845098040014257
234,3.845098040014257
235,3.7781512503836434
236,3.6989700043360187
237,3.4771212547196626
238,3.6989700043360187
239,3.6989700043360187
240,3.6989700043360187
241,3.6020599913279625
242,3.4771212547196626
